Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Aglaia_canarana,0.969,0.0,9.3,3.9,7.6,0.0,0.9,16.0,0.2,0.0,0.5,1.4,12.3,0.4,1.1,0.1,0.0,25.7,0.0,11.1,9.6
Aglaia_edulis,0.947,0.0,1.2,11.5,0.0,0.0,1.0,0.5,10.5,0.1,4.4,0.9,12.0,17.3,6.9,1.1,19.5,0.4,1.6,7.9,3.0
Aglaia_elaeagnoidea,0.913,0.2,1.1,10.8,1.9,0.9,4.8,1.2,0.2,0.0,3.2,1.6,22.5,0.0,6.6,2.6,0.8,0.4,1.4,6.3,33.5
Aglaia_lawii,0.893,0.0,0.6,0.8,1.5,0.0,0.1,0.0,1.8,0.4,0.0,2.0,20.6,7.0,4.1,43.9,3.8,9.5,2.2,0.1,1.6
Aglaia_perviridis,0.96,0.0,9.8,1.0,0.0,0.0,2.9,56.8,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,5.2,3.1,1.3,8.5,10.8
Aglaia_simplicifolia,0.987,6.5,9.3,4.8,0.5,0.0,0.0,0.3,0.0,2.7,0.0,8.7,5.4,0.0,1.0,2.2,1.6,0.1,0.2,56.0,0.6
Aglaia_tomentosa,0.982,0.0,0.0,0.2,22.2,2.4,0.0,31.6,6.3,0.0,7.0,0.0,0.3,0.0,0.0,0.0,0.0,0.8,0.1,7.4,21.8
Agrostistachys_borneensis,0.982,0.0,1.2,0.0,1.0,0.0,0.0,3.0,0.0,5.9,18.1,1.7,12.5,0.0,15.6,0.0,0.7,1.8,0.0,38.5,0.0
Agrostistachys_indica,0.966,0.0,8.1,0.0,0.1,0.0,0.4,0.0,14.9,7.1,0.0,0.0,6.4,1.2,1.5,4.6,0.0,0.4,1.9,52.4,1.0
Aidia_densiflora,0.957,0.0,15.1,0.0,0.0,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,13.8,0.0,0.0,0.0
Ailanthus_triphysa,0.885,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,40.2,23.2,0.0,0.0,16.5,0.0,0.0
Allophylus_cobbe,0.968,0.0,0.3,1.4,0.0,0.0,1.9,7.4,0.0,0.2,0.0,0.0,2.9,19.4,2.5,39.9,0.7,0.7,7.7,13.4,1.8
Alseodaphne_semecarpifolia,0.944,0.0,17.1,11.8,0.9,0.0,0.9,2.3,5.4,0.0,5.3,3.7,8.9,0.0,10.2,6.7,10.2,0.8,10.1,5.6,0.1
Alstonia_scholaris,0.925,0.0,0.5,7.6,0.4,0.0,13.6,0.0,0.0,1.8,0.0,0.2,34.2,2.0,1.8,3.4,16.9,1.4,10.4,4.6,1.3
Anacolosa_densiflora,0.949,0.0,7.0,3.0,0.3,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.2,32.8,0.9,0.0,11.9
